AGI	Tissue
AT4G38800	14_day_old_seedling
AT5G62690	14_day_old_seedling
AT4G37870	14_day_old_seedling
AT5G62700	14_day_old_seedling
AT2G42750	14_day_old_seedling
AT4G27090	14_day_old_seedling
AT1G50480	14_day_old_seedling
AT2G46280	14_day_old_seedling
AT1G22710	14_day_old_seedling
AT5G44680	14_day_old_seedling
AT3G27160	14_day_old_seedling
AT1G11310	14_day_old_seedling
AT1G04270	14_day_old_seedling
AT4G34450	14_day_old_seedling
AT3G11130	14_day_old_seedling
AT5G46420	14_day_old_seedling
AT1G07320	14_day_old_seedling
AT2G26330	14_day_old_seedling
AT1G43670	14_day_old_seedling
AT4G34720	14_day_old_seedling
AT3G53430	14_day_old_seedling
AT1G70370	14_day_old_seedling
AT2G01520	14_day_old_seedling
AT2G34770	14_day_old_seedling
AT5G43760	14_day_old_seedling
AT1G69830	14_day_old_seedling
AT5G42270	14_day_old_seedling
AT3G22200	14_day_old_seedling
AT1G48030	14_day_old_seedling
AT4G34710	14_day_old_seedling
AT2G01110	14_day_old_seedling
AT5G16110	14_day_old_seedling
AT4G29350	14_day_old_seedling
AT2G28840	14_day_old_seedling
AT4G12420	14_day_old_seedling
AT4G13430	14_day_old_seedling
AT5G58290	14_day_old_seedling
AT5G61590	14_day_old_seedling
AT1G69740	14_day_old_seedling
AT2G44120	14_day_old_seedling
AT2G29980	14_day_old_seedling
AT1G72450	14_day_old_seedling
AT1G70620	14_day_old_seedling
AT5G58250	14_day_old_seedling
AT5G67500	14_day_old_seedling
AT3G19710	14_day_old_seedling
AT3G02020	14_day_old_seedling
AT1G58360	14_day_old_seedling
AT3G25520	14_day_old_seedling
AT3G54660	14_day_old_seedling
AT5G65730	14_day_old_seedling
AT4G27130	14_day_old_seedling
AT5G42080	14_day_old_seedling
AT2G05710	14_day_old_seedling
AT2G41680	14_day_old_seedling
AT4G32340	14_day_old_seedling
AT5G19220	14_day_old_seedling
AT4G23100	14_day_old_seedling
AT1G76930	14_day_old_seedling
AT2G43550	14_day_old_seedling
AT3G13520	14_day_old_seedling
AT1G77760	14_day_old_seedling
AT1G14320	14_day_old_seedling
AT5G66680	14_day_old_seedling
AT1G07590	14_day_old_seedling
AT4G34670	14_day_old_seedling
AT1G07930	14_day_old_seedling
AT1G09210	14_day_old_seedling
AT4G39080	14_day_old_seedling
AT1G65720	14_day_old_seedling
AT3G14100	14_day_old_seedling
AT1G15980	14_day_old_seedling
AT1G27090	14_day_old_seedling
AT1G22530	14_day_old_seedling
AT4G16370	14_day_old_seedling
AT5G23575	14_day_old_seedling
AT4G39940	14_day_old_seedling
AT4G35450	14_day_old_seedling
AT5G64260	14_day_old_seedling
AT4G14320	14_day_old_seedling
AT1G04400	14_day_old_seedling
AT5G45390	14_day_old_seedling
AT5G64350	14_day_old_seedling
AT5G19250	14_day_old_seedling
AT5G23240	14_day_old_seedling
AT3G61130	14_day_old_seedling
AT2G42590	14_day_old_seedling
AT1G07770	14_day_old_seedling
AT4G20260	14_day_old_seedling
AT5G09650	14_day_old_seedling
AT5G62810	14_day_old_seedling
AT2G01720	14_day_old_seedling
AT3G50500	14_day_old_seedling
AT2G26500	14_day_old_seedling
AT3G47370	14_day_old_seedling
