AGI	Experiment	Category	Melt_Cat
AT1G17100	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17110	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17120	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17190	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17230	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17232	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17340	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17370	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17380	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17440	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17530	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17550	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17560	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17620	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17744	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17840	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17880	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G17920	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18000	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18010	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18020	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18080	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18160	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18210	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18250	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18260	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18290	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18330	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18580	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18620	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18650	SMALL	UP_XRN4	SMALL_UP_XRN4
AT1G18740	SMALL	UP_XRN4	SMALL_UP_XRN4
